Iteration,Mode,Total_Handshake_ms,Crypto_Proc_ms,AES_GCM_Tx_Rx_ms,Energy_mJ,CPU_Load_Percent,SoC_Temp_C
85,CACHED_REKEY,6.543,0.123,4.641,1.6073,0.0,41.87
86,CACHED_REKEY,10.346,0.127,4.521,1.1666,0.0,43.33
87,CACHED_REKEY,7.093,0.124,4.001,1.0774,0.0,42.35
88,CACHED_REKEY,7.158,0.119,3.877,1.4489,0.0,43.82
89,CACHED_REKEY,9.533,0.128,3.441,1.2694,0.0,42.84
90,CACHED_REKEY,7.653,0.122,3.755,1.234,0.0,41.87
91,CACHED_REKEY,7.404,0.122,3.401,1.2266,0.0,42.35
92,CACHED_REKEY,7.746,0.122,4.28,1.2067,0.0,42.35
93,CACHED_REKEY,9.346,0.121,3.196,1.148,0.0,42.35
94,CACHED_REKEY,11.041,0.117,4.594,1.245,0.0,42.35
95,CACHED_REKEY,8.743,0.124,3.474,1.2957,0.0,42.84
96,CACHED_REKEY,6.91,0.12,4.226,1.1361,0.0,41.87
97,CACHED_REKEY,7.068,0.145,3.76,1.1613,0.0,42.35
98,CACHED_REKEY,7.499,0.119,5.627,1.2527,0.0,41.87
99,CACHED_REKEY,7.994,0.188,3.377,1.2187,0.0,42.84
100,CACHED_REKEY,10.515,0.188,4.258,1.2177,0.0,42.35
