scenario_id,desc,swarm_size,mean_ms,p50_ms,p95_ms,p99_ms,std_ms
a1_no_ecdh,Remove X25519 (Pure ML-KEM only),10,2.5766623501041828,2.575271461545917,2.6986973612988616,2.73946223052569,0.07000135311225238
a1_no_ecdh,Remove X25519 (Pure ML-KEM only),20,2.6131782684840927,2.6021669170651385,2.7595442960903855,2.8455502555215126,0.10521587216709564
a1_no_ecdh,Remove X25519 (Pure ML-KEM only),30,2.664176845560004,2.641285723292934,2.8838965246376276,3.2161335169114347,0.1455889866234221
a1_no_ecdh,Remove X25519 (Pure ML-KEM only),40,2.702820075997568,2.6603413633418933,3.026965626297459,3.6210597518414427,0.19421594854107216
a1_no_ecdh,Remove X25519 (Pure ML-KEM only),50,2.827230730600271,2.7499528549069514,3.3434675945016026,3.9123176708530414,0.30201189320322647
a1_no_ecdh,Remove X25519 (Pure ML-KEM only),60,2.936200418293708,2.831777944998789,3.750881142468621,4.413482490105505,0.41121743604403255
a1_no_ecdh,Remove X25519 (Pure ML-KEM only),70,3.24117374932065,3.0268319297419897,4.471849710164088,5.4416604336343095,0.6596897553766626
a1_no_ecdh,Remove X25519 (Pure ML-KEM only),80,3.9984223745044454,3.597261420290785,6.895700242044996,8.140685552993798,1.3305558133010533
a1_no_ecdh,Remove X25519 (Pure ML-KEM only),90,7.281461650484609,5.755465667779579,17.03600700078456,21.64611859013348,4.6156955754309035
a1_no_ecdh,Remove X25519 (Pure ML-KEM only),100,6.962364641023116,5.57614476624452,15.83173328694964,21.893465244503933,4.338666567355833
a2_no_kyber,Remove ML-KEM (Classical ECDH only),10,0.7700878140329146,0.7607652457093921,0.828100420420635,0.8877910236681269,0.1087500143816355
a2_no_kyber,Remove ML-KEM (Classical ECDH only),20,0.8050277169767546,0.7843467341093071,0.925975978600536,1.1072189980210405,0.11456010102997576
a2_no_kyber,Remove ML-KEM (Classical ECDH only),30,0.8451256000789759,0.8121605191703187,1.0638547725578145,1.165848440888163,0.1352440585447401
a2_no_kyber,Remove ML-KEM (Classical ECDH only),40,0.906649690834114,0.8570696878314722,1.2057359907026606,1.6092653411102433,0.20424682732119548
a2_no_kyber,Remove ML-KEM (Classical ECDH only),50,0.9922192055279883,0.9059257453574187,1.482407618251895,1.9930279781366724,0.27781299274255594
a2_no_kyber,Remove ML-KEM (Classical ECDH only),60,1.1778170686330443,1.0711374279191697,1.9710360353950578,2.5562458550131897,0.3999743496867233
a2_no_kyber,Remove ML-KEM (Classical ECDH only),70,1.4109719819406488,1.217040623692367,2.658196810335122,4.047921884763671,0.6776913834135224
a2_no_kyber,Remove ML-KEM (Classical ECDH only),80,2.2697312458356764,1.7841550149466663,5.321743585278837,9.02907154694072,1.6439201002517905
a2_no_kyber,Remove ML-KEM (Classical ECDH only),90,5.794548194637227,4.358884378067928,15.761083393994792,24.324653628851333,4.977468557614196
a2_no_kyber,Remove ML-KEM (Classical ECDH only),100,5.759189661749275,4.250079786560816,14.444423449516076,23.126149226725083,5.074360335480442
a3_no_hkdf,Remove HKDF (Direct key concatenation),10,2.5646247465563836,2.5602337141252316,2.691778737469752,2.7299758537071788,0.08209230904435916
a3_no_hkdf,Remove HKDF (Direct key concatenation),20,2.6027759631958984,2.58934638395296,2.7525281647703466,2.8423029422476316,0.12697985801771666
a3_no_hkdf,Remove HKDF (Direct key concatenation),30,2.6468832021661064,2.6218132015834286,2.8851582899961983,3.0846269816632224,0.1425482900802539
a3_no_hkdf,Remove HKDF (Direct key concatenation),40,2.718116036463387,2.6612870361653163,3.1170017308870137,3.5992797503043366,0.276684018918887
a3_no_hkdf,Remove HKDF (Direct key concatenation),50,2.7986877043114085,2.712647950697973,3.4187855299169665,3.9913791020310376,0.31127236541386794
a3_no_hkdf,Remove HKDF (Direct key concatenation),60,2.9902788271465264,2.8426929156181737,3.8333592577208138,4.512263619143749,0.45053110293009846
a3_no_hkdf,Remove HKDF (Direct key concatenation),70,3.218020575666558,3.0073857100039265,4.684854397146067,5.756606024110641,0.6743143831717627
a3_no_hkdf,Remove HKDF (Direct key concatenation),80,4.198295871892027,3.659313201695741,7.974149943383333,10.675155143469544,1.7757010437337366
a3_no_hkdf,Remove HKDF (Direct key concatenation),90,7.438978250476328,6.173262500732374,15.940410232183062,21.147193011117356,4.383837877979547
a3_no_hkdf,Remove HKDF (Direct key concatenation),100,7.225555328903247,5.9601001929932345,15.202848276312965,20.238634663010888,4.326819713874694
a4_no_aes_setup,Remove AES-256-GCM key schedule,10,2.5815937129495587,2.5733627886112247,2.7062749344618866,2.8226903723167425,0.11095480147830686
a4_no_aes_setup,Remove AES-256-GCM key schedule,20,2.623090803944886,2.605097419734164,2.782068852468894,2.939843137874828,0.1276415750045287
a4_no_aes_setup,Remove AES-256-GCM key schedule,30,2.663777428175795,2.639570758617459,2.8874953470182283,3.1630701662438874,0.14004989779250096
a4_no_aes_setup,Remove AES-256-GCM key schedule,40,2.7137702821258536,2.6740325419818642,3.0505083399904707,3.3027764539845212,0.20235457293580428
a4_no_aes_setup,Remove AES-256-GCM key schedule,50,2.8127669749812667,2.7310113058010934,3.4077677729065723,3.800516852139233,0.2901263726345435
a4_no_aes_setup,Remove AES-256-GCM key schedule,60,2.9695858349557667,2.8476979469656216,3.7800413746208172,4.7689720915956855,0.4556778320677814
a4_no_aes_setup,Remove AES-256-GCM key schedule,70,3.2711079657094513,3.0625557695678745,4.576366767099983,5.573648599114366,0.7373700787976433
a4_no_aes_setup,Remove AES-256-GCM key schedule,80,4.089479772294656,3.6291612984724666,7.29677411459031,9.33475681239678,1.4912834789466196
a4_no_aes_setup,Remove AES-256-GCM key schedule,90,7.5140960856813805,6.0358477231651655,16.681062321689936,27.089288872650293,5.276933014841918
a4_no_aes_setup,Remove AES-256-GCM key schedule,100,7.4635916018618795,5.955174122558441,17.843417859637498,21.751508637434874,4.634424238995336
a5_double_rrc,Double RRC overhead (240B stress test),10,2.618993430064722,2.608836638960384,2.740461236215381,2.8030423731998386,0.12247515469170173
a5_double_rrc,Double RRC overhead (240B stress test),20,2.646627666137284,2.6311482579158323,2.787759163962242,2.9213283951431945,0.12017521310955255
a5_double_rrc,Double RRC overhead (240B stress test),30,2.695890799972959,2.66277955754023,2.958233621736689,3.137142371649823,0.14816487984033974
a5_double_rrc,Double RRC overhead (240B stress test),40,2.7613124800132023,2.7170566926093445,3.0644847702780194,3.587813291971893,0.20765968769010337
a5_double_rrc,Double RRC overhead (240B stress test),50,2.8289449090333982,2.755568791954485,3.33479374106462,3.803044858392364,0.2648692148521833
a5_double_rrc,Double RRC overhead (240B stress test),60,2.990011042578891,2.855421607915482,3.8069002550250457,4.399447071922729,0.41869563663568155
a5_double_rrc,Double RRC overhead (240B stress test),70,3.2597722778963907,3.0386702507267023,4.6749464394308795,5.861117420597794,0.7100875385683384
a5_double_rrc,Double RRC overhead (240B stress test),80,4.092108734494204,3.6567512958963038,6.962979231693205,10.056293048587952,1.476747935326895
a5_double_rrc,Double RRC overhead (240B stress test),90,7.385368723996397,5.778467977181515,16.50524665563015,24.70900554943712,4.943298278041566
a5_double_rrc,Double RRC overhead (240B stress test),100,7.272911721348203,5.650600344161068,16.792638927427145,24.108789163978116,4.70542633828425
a6_no_fragmentation,No IP fragmentation (Jumbo frames),10,1.5851857623986003,1.5830273209578372,1.6828070493645897,1.7388430307086877,0.07613427602488937
a6_no_fragmentation,No IP fragmentation (Jumbo frames),20,1.616246988077799,1.6082507879746655,1.7564839766097926,1.8169894877768538,0.07728895735727016
